index,true_load,pred_load,true_solar,pred_solar,market_price
2013-01-01 00:00:00,27.158707762557075,24.690185806624992,0.0,0.0,0.0351168
2013-01-01 01:00:00,26.722863013698632,20.83157637710311,0.0,0.0011175711173136,0.0124868
2013-01-01 02:00:00,26.04480136986301,21.33862837397319,0.0,0.0,0.0124371999999999
2013-01-01 03:00:00,26.55453196347032,22.07432843503417,0.0,0.0188560153706113,0.0056543999999999
2013-01-01 04:00:00,34.133874429223745,24.23847436102697,0.0,0.0725667428319053,0.0059892
2013-01-01 05:00:00,45.56995890410961,31.569425759182185,0.0,0.1643678105540813,0.0100316
2013-01-01 06:00:00,42.84935388127854,39.91956676398265,0.0,0.1722611611174303,0.0316696
2013-01-01 07:00:00,44.87862100456625,41.65292870941489,0.0,0.1176562944762815,0.0485584
2013-01-01 08:00:00,44.19799315068492,38.35230942672984,0.0,0.1239803335622424,0.0466984
2013-01-01 09:00:00,37.76804337899544,36.77260562618416,0.0,1.229725908666274,0.0266848
2013-01-01 10:00:00,39.4997694063927,35.867095749315084,0.0,1.8864832315130649,0.03503
2013-01-01 11:00:00,36.37406164383562,34.9675112856831,0.0,1.8767156378174377,0.0239196
2013-01-01 12:00:00,37.368226027397256,35.45865875627603,0.03,1.3819916995575474,0.0239568
2013-01-01 13:00:00,33.65708447488584,35.94043372976761,0.0,1.4234495800046598,0.0201004
2013-01-01 14:00:00,36.49672374429224,38.05550512542336,0.0,2.2925814230165864,0.0266228
2013-01-01 15:00:00,44.69226255707758,46.1666691853283,0.0,4.7397190554133175,0.0405356
2013-01-01 16:00:00,54.29797260273968,49.86764855616407,0.0,1.0512284401457084,0.0363816
2013-01-01 17:00:00,55.35818493150687,48.229472200245,0.0,0.2849176222937004,0.0374356
2013-01-01 18:00:00,50.88889497716896,47.80692887762069,0.0,0.0,0.0373116
2013-01-01 19:00:00,45.62744748858446,40.611039482263614,0.0,0.0,0.0366791999999999
2013-01-01 20:00:00,41.44260273972602,36.64506764278583,0.0,0.0,0.0457684
2013-01-01 21:00:00,37.86884931506848,34.03568418816379,0.0,0.0,0.0410936
2013-01-01 22:00:00,31.781394977168937,28.380945347468927,0.0,0.0,0.0267964
2013-01-01 23:00:00,28.613465753424663,23.541626928768167,0.0,0.0,0.0050096
